Total Nacional	Provincias	Tipo de dato	Periodo	Total
Total Nacional	34 Palencia	Dato base	2017SM09	36
Total Nacional	34 Palencia	Dato base	2017SM08	45
Total Nacional	34 Palencia	Dato base	2017SM07	60
Total Nacional	34 Palencia	Dato base	2017SM06	46
Total Nacional	34 Palencia	Dato base	2017SM05	37
Total Nacional	34 Palencia	Dato base	2017SM04	70
Total Nacional	34 Palencia	Dato base	2017SM03	66
Total Nacional	34 Palencia	Dato base	2017SM02	66
Total Nacional	34 Palencia	Dato base	2017SM01	55
Total Nacional	34 Palencia	Dato base	2016SM52	56
Total Nacional	34 Palencia	Dato base	2016SM51	52
Total Nacional	34 Palencia	Dato base	2016SM50	40
Total Nacional	34 Palencia	Dato base	2016SM49	37
Total Nacional	34 Palencia	Dato base	2016SM48	42
Total Nacional	34 Palencia	Dato base	2016SM47	44
Total Nacional	34 Palencia	Dato base	2016SM46	37
Total Nacional	34 Palencia	Dato base	2016SM45	34
Total Nacional	34 Palencia	Dato base	2016SM44	37
Total Nacional	34 Palencia	Dato base	2016SM43	34
Total Nacional	34 Palencia	Dato base	2016SM42	34
Total Nacional	34 Palencia	Dato base	2016SM41	37
Total Nacional	34 Palencia	Dato base	2016SM40	39
Total Nacional	34 Palencia	Dato base	2016SM39	29
Total Nacional	34 Palencia	Dato base	2016SM38	37
Total Nacional	34 Palencia	Dato base	2016SM37	36
Total Nacional	34 Palencia	Dato base	2016SM36	43
Total Nacional	34 Palencia	Dato base	2016SM35	32
Total Nacional	34 Palencia	Dato base	2016SM34	38
Total Nacional	34 Palencia	Dato base	2016SM33	40
Total Nacional	34 Palencia	Dato base	2016SM32	42
Total Nacional	34 Palencia	Dato base	2016SM31	34
Total Nacional	34 Palencia	Dato base	2016SM30	35
Total Nacional	34 Palencia	Dato base	2016SM29	48
Total Nacional	34 Palencia	Dato base	2016SM28	34
Total Nacional	34 Palencia	Dato base	2016SM27	40
Total Nacional	34 Palencia	Dato base	2016SM26	31
